2020-04-22 15:25:12,847 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 15:25:27,424 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 15:25:42,429 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:29:13,879 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 15:29:26,845 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 15:29:41,845 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:29:49,175 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:29:50,062 | INFO | features.helpers.appium_helpers | Saving get_images_similarity visualization in data/visualizations folder
2020-04-22 15:29:50,220 | INFO | start_app | Waiting for App to start up...
2020-04-22 15:29:50,220 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 15:29:50,220 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:29:57,427 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:30:02,953 | INFO | __main__ | Comparing first time screen...
2020-04-22 15:30:12,954 | INFO | __main__ | Checking for in-app-purchase dialog...
2020-04-22 15:30:12,961 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:30:17,063 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:30:37,582 | INFO | __main__ | Change Google Account...
2020-04-22 15:30:37,589 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:30:38,572 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:30:43,902 | INFO | __main__ | Choosing Account...
2020-04-22 15:30:54,010 | INFO | __main__ | Close coc load village dialog...
2020-04-22 15:30:54,082 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:30:58,913 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:30:59,362 | INFO | __main__ | Click Cancel button on screen...'
2020-04-22 15:31:07,643 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:31:07,643 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:31:15,873 | INFO | __main__ | Tap for Welcome Chief Dialog...
2020-04-22 15:31:15,880 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:31:21,787 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:31:22,295 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:31:22,462 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:31:22,608 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:31:24,742 | INFO | __main__ | Goblins Attack - Shop Now for Cannon...
2020-04-22 15:31:24,749 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:31:31,637 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:31:32,142 | INFO | __main__ | Tap Shop Now...
2020-04-22 15:31:42,114 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:31:42,114 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:31:50,313 | INFO | __main__ | Tap Cannon...
2020-04-22 15:31:55,074 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:31:55,074 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:31:58,029 | INFO | __main__ | Place Cannon...
2020-04-22 15:32:07,918 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:32:07,918 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:32:25,969 | INFO | __main__ | Click Bring it On...
2020-04-22 15:32:34,549 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:32:34,550 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:32:56,303 | INFO | __main__ | Dismiss the Wizards dialogs...
2020-04-22 15:32:56,337 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:32:56,512 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:32:56,646 | INFO | __main__ | Click Attack button
2020-04-22 15:33:06,307 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:33:06,307 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:33:19,086 | INFO | __main__ | Deploy Wizards
2020-04-22 15:33:19,124 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:33:19,286 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:33:19,460 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:33:19,609 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:33:19,761 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:33:34,897 | INFO | __main__ | Return Home
2020-04-22 15:33:42,390 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:33:42,390 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:33:53,240 | INFO | __main__ | Getting village into fighting shape...
2020-04-22 15:33:53,269 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:33:53,421 | INFO | __main__ | Shop for builder
2020-04-22 15:34:03,146 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:34:03,146 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:34:11,118 | INFO | __main__ | Tap Builder's Hut...
2020-04-22 15:34:16,005 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:34:16,005 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:34:19,013 | INFO | __main__ | Place Builder's Hut...
2020-04-22 15:34:29,363 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:34:29,363 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:34:39,958 | INFO | features.helpers.appium_helpers | Tap in the middle of screen...
2020-04-22 15:34:40,103 | INFO | __main__ | Shop for Elixir Collector
2020-04-22 15:34:49,834 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:34:49,834 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:34:58,220 | INFO | __main__ | Tap Elixir Collector...
2020-04-22 15:35:03,153 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:35:03,153 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:35:06,310 | INFO | __main__ | Place Elixir Collector...
2020-04-22 15:35:16,925 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:35:16,925 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:35:40,676 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 15:39:42,576 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 15:39:49,971 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 15:40:04,975 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:40:12,368 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:40:12,854 | INFO | start_app | Waiting for App to start up...
2020-04-22 15:40:12,854 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 15:40:12,854 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:40:18,757 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:40:24,179 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 15:40:24,218 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 15:40:24,218 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 15:40:25,415 | INFO | __main__ | Collect Gold
2020-04-22 15:40:25,416 | INFO | __main__ | Find small green shrub
2020-04-22 15:40:34,199 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:40:34,200 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:40:51,037 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 15:44:44,656 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 15:44:52,125 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 15:45:07,129 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:45:14,369 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:45:14,872 | INFO | start_app | Waiting for App to start up...
2020-04-22 15:45:14,873 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 15:45:14,873 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:45:20,750 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:45:26,221 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 15:45:26,271 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 15:45:26,271 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 15:45:27,477 | INFO | __main__ | Collect Gold
2020-04-22 15:45:27,477 | INFO | __main__ | Find small green shrub
2020-04-22 15:45:37,260 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:45:37,260 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:45:55,168 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 15:46:42,135 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 15:46:51,997 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 15:47:07,001 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 15:47:14,291 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 15:47:14,788 | INFO | start_app | Waiting for App to start up...
2020-04-22 15:47:14,788 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 15:47:14,788 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 15:47:14,830 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 15:47:14,830 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 15:47:16,034 | INFO | __main__ | Collect Gold
2020-04-22 15:47:16,035 | INFO | __main__ | Find small green shrub
2020-04-22 15:47:25,883 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 15:47:25,891 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 15:47:43,762 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 16:58:50,918 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 16:58:59,561 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 16:59:14,563 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 16:59:21,961 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 16:59:22,954 | INFO | start_app | Waiting for App to start up...
2020-04-22 16:59:22,955 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 16:59:22,955 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 16:59:29,079 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 16:59:34,611 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 16:59:34,667 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 16:59:34,667 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 16:59:35,883 | INFO | __main__ | Collect Gold
2020-04-22 16:59:35,884 | INFO | __main__ | Find small green shrub
2020-04-22 16:59:45,230 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 16:59:45,230 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:00:02,670 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 17:06:51,620 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 17:06:59,164 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 17:07:14,168 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:07:21,483 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:07:21,954 | INFO | start_app | Waiting for App to start up...
2020-04-22 17:07:21,955 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 17:07:21,955 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:07:28,014 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:07:33,488 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 17:07:33,540 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 17:07:33,542 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 17:07:34,756 | INFO | __main__ | Collect Gold
2020-04-22 17:07:44,086 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:07:44,086 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:07:51,582 | INFO | __main__ | Find small green shrub
2020-04-22 17:08:00,901 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:08:00,901 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:08:18,292 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 17:09:30,005 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 17:09:37,489 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 17:09:52,494 | INFO | features.helpers.appium_helpers | Comparing screenshots...
